STNAME,CTYNAME,POPESTIMATE2020,GEOID,MEDIAN_HOUSEHOLD_INCOME,CENTROID
West Virginia,Doddridge County,7790,54017,47755,POINT (1301672.9413185702 1910191.623711214)
West Virginia,Fayette County,40445,54019,48710,POINT (1291680.956937646 1767741.1755617738)
West Virginia,Gilmer County,7399,54021,44938,POINT (1294917.3221984871 1869887.1653391945)
West Virginia,Grant County,10995,54023,58150,POINT (1432419.5074656927 1913438.0585283565)
West Virginia,Greenbrier County,32903,54025,45137,POINT (1347225.4445618263 1767253.8979528348)
West Virginia,Hampshire County,23085,54027,58266,POINT (1477375.4134457589 1946448.5296285043)
West Virginia,Hancock County,29043,54029,58077,POINT (1290210.045368858 2050105.6307676272)
West Virginia,Hardy County,14241,54031,53876,POINT (1462660.12226858 1907943.503363114)
West Virginia,Harrison County,65842,54033,57764,POINT (1329037.0927690032 1916362.641076938)
West Virginia,Jackson County,27726,54035,54735,POINT (1226570.92707544 1849825.013157631)
West Virginia,Jefferson County,57785,54037,87259,POINT (1540458.6869915132 1956781.760520575)
West Virginia,Kanawha County,180208,54039,55160,POINT (1248141.2642265505 1795976.4653927456)
West Virginia,Lewis County,17020,54041,53283,POINT (1324152.7434090725 1882539.4680227565)
West Virginia,Lincoln County,20368,54043,43727,POINT (1204477.1867521957 1770544.055563481)
West Virginia,Logan County,32516,54045,42615,POINT (1221727.7631236035 1734333.7694683042)
West Virginia,McDowell County,18939,54047,28972,POINT (1253831.0379573342 1688183.313269532)
West Virginia,Marion County,56234,54049,58855,POINT (1336419.6558443145 1943106.187426529)
West Virginia,Marshall County,30529,54051,51934,POINT (1294493.697996387 1976022.7531705757)
West Virginia,Mason County,25413,54053,48077,POINT (1198506.7676723583 1837476.5511832268)
West Virginia,Mercer County,59519,54055,43917,POINT (1300248.303739665 1698189.7774105286)
West Virginia,Mineral County,26901,54057,59669,POINT (1447507.7589409873 1951754.4179782348)
West Virginia,Mingo County,23487,54059,35761,POINT (1206286.2101019225 1720771.5841247074)
West Virginia,Monongalia County,105912,54061,59094,POINT (1350485.141054427 1959387.381238815)
West Virginia,Monroe County,12386,54063,53154,POINT (1346227.9705444628 1723522.3551718658)
West Virginia,Morgan County,17087,54065,56162,POINT (1501501.5343342598 1977566.4851132615)
West Virginia,Nicholas County,24562,54067,46757,POINT (1311397.246119043 1801136.1525336483)
West Virginia,Ohio County,42307,54069,60241,POINT (1293927.132327665 2002602.5132734757)
